rank,word,count,fraction
241,letters,631,0.0005604455142154207
242,face,629,0.0005586691417456412
243,game,627,0.0005568927692758618
244,above,622,0.0005524518381014131
245,patterned,620,0.0005506754656316337
246,contains,618,0.0005488990931618541
247,between,615,0.0005462345344571849
248,printed,613,0.0005444581619874055
249,audience,610,0.0005417936032827363
250,though,608,0.0005400172308129569
251,plastic,607,0.0005391290445780671
252,has,604,0.0005364644858733979
253,stars,599,0.0005320235546989493
254,facing,598,0.0005311353684640596
255,short,593,0.0005266944372896108
256,subtle,592,0.0005258062510547211
257,interface,592,0.0005258062510547211
258,change,589,0.0005231416923500519
259,indoor,588,0.0005222535061151622
260,words,581,0.0005160362024709341
261,both,581,0.0005160362024709341
262,focus,580,0.0005151480162360444
263,digital,572,0.0005080425263569265
264,displayed,570,0.0005062661538871471
265,overlay,570,0.0005062661538871471
266,sign,567,0.0005036015951824779
267,stylized,566,0.0005027134089475882
268,appearing,565,0.0005018252227126984
269,out,561,0.0004982724777731394
270,area,557,0.0004947197328335805
271,maintains,555,0.0004929433603638011
272,dressed,555,0.0004929433603638011
273,garment,555,0.0004929433603638011
274,main,554,0.0004920551741289113
275,suspenders,546,0.00048494968424979347
276,them,546,0.00048494968424979347
277,move,540,0.0004796205668404551
278,along,540,0.0004796205668404551
279,plain,539,0.0004787323806055654
280,around,536,0.0004760678219008962
281,relatively,536,0.0004760678219008962
282,individuals,532,0.00047251507696133727
283,news,528,0.0004689623320217783
284,mannequin,525,0.00046629777331710914
285,positions,525,0.00046629777331710914
286,holding,524,0.0004654095870822194
287,clear,524,0.0004654095870822194
288,filled,520,0.0004618568421426605
289,browser,515,0.0004574159109682118
290,silver,511,0.0004538631660286529
291,opening,507,0.000450310421089094
292,down,507,0.000450310421089094
293,jacket,507,0.000450310421089094
294,tall,505,0.0004485340486193145
295,mounted,505,0.0004485340486193145
296,gray,503,0.000446757676149535
297,overall,500,0.00044409311744486585
298,suit,500,0.00044409311744486585
299,sports,499,0.0004432049312099761
300,under,499,0.0004432049312099761
301,players,493,0.0004378758138006377
302,trading,488,0.00043343488262618905
303,wig,487,0.00043254669639129935
304,points,486,0.0004316585101564096
305,necklace,484,0.00042988213768663014
306,stand,483,0.0004289939514517404
307,before,482,0.0004281057652168507
308,map,480,0.0004263293927470712
309,gesture,478,0.00042455302027729177
310,textured,472,0.00041922390286795334
311,cards,470,0.0004174475303981739
312,eyes,469,0.0004165593441632842
313,body,464,0.0004121184129888355
314,paper,464,0.0004121184129888355
315,blonde,462,0.00041034204051905606
316,acoustic,461,0.0004094538542841663
317,displaying,459,0.00040767748181438684
318,bow,458,0.0004067892955794971
319,racks,458,0.0004067892955794971
320,group,453,0.00040234836440504847
321,items,453,0.00040234836440504847
322,field,451,0.00040057199193526896
323,transitions,450,0.00039968380570037926
324,lines,447,0.00039701924699571005
325,orange,446,0.00039613106076082034
326,capturing,445,0.0003952428745259306
327,alongside,443,0.00039346650205615113
328,emphasize,442,0.0003925783158212614
329,next,440,0.0003908019433514819
330,watch,438,0.00038902557088170246
331,tree,436,0.000387249198411923
332,attire,436,0.000387249198411923
333,wide,436,0.000387249198411923
334,similar,434,0.00038547282594214355
335,numerous,432,0.0003836964534723641
336,titled,431,0.00038280826723747434
337,do,429,0.0003810318947676949
338,objects,429,0.0003810318947676949
339,rectangular,427,0.0003792555222979154
