video_id,filename,caption_length_words,score
c4b89a16eb887623e7c19862cdbeb160,3pLMflJEGQ4-Scene-011.mp4,121,0.253969
1dce3aa6c8c0d2c394002a8b2a0ebe8e,3mdAeLvlUxw-Scene-167.mp4,96,0.134230
f8afdfd02b962746c264f4c5e1d63845,3aGaSqbrfVA-Scene-045.mp4,117,0.135052
a9276fec585b93b91a5f4d6001817219,3P1vSUbet40-Scene-0946.mp4,124,0.203503
172086d251dee28057a564c341db8bb4,3qr2hGZ_rRg-Scene-060.mp4,116,0.214453
b895adce465738c4bb867d9b46330588,3Wcw7UNaLks-Scene-253.mp4,105,0.108541
2bfe1637436ac3511343c9c22edf3b7f,3fLu8Czn1pY-Scene-032.mp4,109,0.125761
2cd5e2488f852549654fdfc410e88132,3iUTkJy84EY-Scene-062.mp4,130,0.241919
e1ebcbb432f6ae0fe500305a151453be,3hLeTO8SC3U-Scene-025.mp4,103,0.275347
a5299d521d9db23ea9a914263f02afa0,3ITw3DpGM5k-Scene-006.mp4,129,0.219871
be3170ba6276b2d87cc6a491c13f2580,3gZZFVx-9-M-Scene-436.mp4,106,0.164142
3957d0fff3e16ff7a7a358a3940a8611,3mdAeLvlUxw-Scene-201.mp4,128,0.128189
5ca57260c0fbd9376326303014fd3ae6,3q3CZaZLMiY-Scene-752.mp4,106,0.264681
b6e895a29de97a02c8bbce737460b97c,3P1vSUbet40-Scene-0212.mp4,95,0.138930
d1c18d78094ab196aef21d62fece6519,3_ZfZs-JPIg-Scene-001.mp4,119,0.154862
92d44446197a06ff59fd54d807a2a708,3Smz5pevbI4-Scene-006.mp4,114,0.135123
49b58098266b107ce74caa5901b4b42f,3EB6XN8KrzI-Scene-108.mp4,115,0.206972
ba92da6f28e9671efe546e1802460ed7,3P1vSUbet40-Scene-0995.mp4,129,0.157906
f80ff0a2f84b347476ec945a794e8f7d,3iUTkJy84EY-Scene-206.mp4,101,0.195227
ec4e631b0df7c9f8155d78d2f3bdb7ec,3_ZfZs-JPIg-Scene-080.mp4,150,0.200087
45ff5ffc4f670de5bc4aee18c087f784,3urJ0kIq6QE-Scene-005.mp4,97,0.204523
f2d0c36611f50131ce22bc5ba235b49d,3Smz5pevbI4-Scene-049.mp4,139,0.193309
6cf08cf43a6ccca0f4bda3c3a9dbc2e8,3P1vSUbet40-Scene-0165.mp4,136,0.236526
89e5d598c86b31b57287bcb4473e0813,3_U0zFmzyBM-Scene-027.mp4,146,0.202715
e64c8d8fde8fc8eca996df5eb845a66e,3jGOgCF9gjE-Scene-055.mp4,107,0.195299
8169b258ceb72393de63ebb433c367a0,3Kxl1O310k8-Scene-048.mp4,105,0.108245
98697035b8d53c4a08a335cbf136141c,3P1vSUbet40-Scene-0025.mp4,104,0.181164
b3c7c04847827a4f83465f833dddaaaa,3_ldSlCUBFY-Scene-051.mp4,127,0.204961
9d000f8d7348bbded775052f3a1479e1,3fokLGPK15Q-Scene-056.mp4,108,0.149711
2a418ab259818be621b2addbaa0cad9e,3q3CZaZLMiY-Scene-869.mp4,127,0.191650
569378dd1c468e92445d404e34fcc40a,3Wcw7UNaLks-Scene-237.mp4,122,0.167444
4dd71195011930e8a75e7ac6da1b92b3,3qr2hGZ_rRg-Scene-064.mp4,80,0.323953
153bc3ecb42c024059c3c05805f0c7ac,3fPjWUG7DxI-Scene-100.mp4,121,0.156222
7608cdec01f2bffd8defbad3921c7067,3F2rz23IKUk-Scene-071.mp4,107,0.245047
06eba85e5fff14be5e459dfffd88aad4,3P1vSUbet40-Scene-0570.mp4,96,0.133483
cb4fa307e1b3d44f11899c4ea6ddf834,3Z229_lKLpk-Scene-189.mp4,111,0.281186
bfd4cc87b0a7f4bf74c4dfa60db8d03f,3jGOgCF9gjE-Scene-013.mp4,99,0.187175
503a9445d192c8ea459bfc1afb518d17,3ITw3DpGM5k-Scene-194.mp4,119,0.155270
cb65518d66ef85d1873fde8425c1e5a8,3QD9oO6sRns-Scene-071.mp4,119,0.096059
4c64243e9d340da6116c0474b57ef070,3P1vSUbet40-Scene-0216.mp4,104,0.223317
023022aa355e23c337ea93dd415e607f,3P1vSUbet40-Scene-0179.mp4,113,0.122488
17f17342402cf3d675add776fba3849f,3mdAeLvlUxw-Scene-191.mp4,148,0.407912
f145e983cb22854450b1a221747344e7,3E6ctN22V7k-Scene-028.mp4,105,0.171223
d9b62dc6d58e1069657aa2fa750d7aee,3Wcw7UNaLks-Scene-013.mp4,101,0.130227
13255c4825359395fc0bdc2afb510672,3U065Ox-1uA-Scene-016.mp4,112,0.113555
4f9fffcb71b6b8c17a59cfbf5dd4c422,3l84m5pRmyk-Scene-060.mp4,98,0.184250
1674b0665478637a81402581ca7a92e5,3_ZfZs-JPIg-Scene-196.mp4,106,0.267476
0a10c0b199ebae2bfc0838aef6c78828,3l84m5pRmyk-Scene-022.mp4,101,0.231941
739042b7b3c878c7dfd60b2553c7c7db,3mmDnftP1M8-Scene-077.mp4,144,0.226570
17ee6b57042d3a4a31714deacb21ef08,3jGOgCF9gjE-Scene-081.mp4,97,0.179743
b2c82676ccb7fe0a53b1c0972c05523f,3VCwl-aQ_oQ-Scene-022.mp4,127,0.199139
53011aa9025a8f522d46cd92084cbec6,3Wcw7UNaLks-Scene-040.mp4,106,0.105493
60b70606893fc419db4c2cd0f336ad4d,3_ZfZs-JPIg-Scene-242.mp4,115,0.115521
e51e846b84121feec4f9fe3e3d0b5aeb,3_ZfZs-JPIg-Scene-189.mp4,127,0.174945
a8f9bcb547c3079554767d0e9cd623ba,3EB6XN8KrzI-Scene-003.mp4,108,0.176259
4a219d8bd96fc5745dbbbd54d4afd023,3d5Bf4VRhHE-Scene-045.mp4,101,0.222457
2e4bb54ed773c25d1c6293983704a6cc,3fPjWUG7DxI-Scene-104.mp4,101,0.156198
f61abf9edcb1ba6f7ef3d027f46ceed2,3sJ5OX75erw-Scene-014.mp4,105,0.135867
c5cd189345c70293ad72c4c73d9d670a,3P1vSUbet40-Scene-0070.mp4,131,0.152004
c799847dd77d4fdeed420d716dd6d32d,3q3CZaZLMiY-Scene-073.mp4,147,0.163854
a4496feb3964fb21c537d255853b1fb7,3EB6XN8KrzI-Scene-179.mp4,106,0.228866
54d7cc3f89154190c175ec7b709d89ce,3KyEoC29eqs-Scene-017.mp4,120,0.099034
a459be27fa3601258768b7d8292b8750,3P1vSUbet40-Scene-1064.mp4,95,0.150582
8d002823c47066f2f91920434b0e6c84,3fKU7ugHcIQ-Scene-078.mp4,131,0.271985
4232f17ad9d6aeeea15e073d9e3dcd11,3EB6XN8KrzI-Scene-212.mp4,110,0.292778
2134d6b2f4f65fdfd71e19a38016831d,3q3CZaZLMiY-Scene-573.mp4,86,0.190388
225675a52ad098a2c0f9ce463f56da0f,3fokLGPK15Q-Scene-034.mp4,116,0.253000
e1be474c1bdad6980d3e5227e65ea091,3_ZfZs-JPIg-Scene-410.mp4,119,0.197191
95f4cfcd34813783a86422675fe53fc2,3q3CZaZLMiY-Scene-236.mp4,97,0.153124
7b3db50d5921a240bb50717ea889e925,3mmDnftP1M8-Scene-014.mp4,109,0.234495
