video_id,caption_length_words,score
cfec4ae671c33181e593f55eafeb2c65,124,0.303958
9cddaf9c8c86e44981252472e07fbe57,122,0.271928
816a8be5a31fc8a8aebbae4eee5c0db5,135,0.310208
65db921e9b007c5fc21b43b064680095,148,0.237335
9bd234ffc99c3768d76f22b970172730,146,0.317617
77aca1ca0c88730c809c4d83e028146e,143,0.337760
83d3c783c7290f0fd44dab1da80cd755,122,0.346071
c4c4f79162907e2f0c84f880fa86758c,145,0.275240
414e341fa8a97d1bb9dd6f3043fc28c6,128,0.321777
9494ef1d118e8bc25e7738b042e9c100,141,0.309307
e1c576e2e5b96971d71fcf1243964cad,141,0.307660
9cc62b5328adca47694ed8ba25c0d75f,142,0.292806
24d6fed2e184a35c7b7396aec68655b1,130,0.325783
042584c549345020174632479201ad02,130,0.294382
e26b97b398f1122f53ed6412b8339cfc,151,0.279215
325c89b1e01ad3698fae94569c7e5d45,129,0.307302
252e4f1c27013479c1f2060a870f7776,119,0.307648
6a6fa0414073d72b2abf9c16310df306,142,0.219023
f7f8f8d80de25eaefa9ed8df23a68c1b,124,0.258938
422686ab49c09c0820cc3c40d0060e6c,134,0.322871
ad9379486de3b333eac837354e9ac41c,136,0.290183
23565dfe1e50baca834735893f425d78,152,0.201367
7a0edfecd9e4cdd9714ea5d86d59afe2,149,0.239816
b6f02ecd522e2c1e4e02c233c06e3611,130,0.230225
8cb2639aedff2c1aa979e189f45268fa,130,0.249821
4e6748c3644dc16ecc05b08f8aa8fae5,122,0.296785
d9438ff7ca1561aeef665a097c703af5,140,0.274329
95bf8a7be66b72d3181f764a65e7a4b9,137,0.283750
0375af8cc1adf57e2a07ee3a360fbf8e,142,0.260610
9435ae6c24b9d25dd31300b83543cb90,151,0.293369
34138fca8b565ab943702048750b2ae9,137,0.249038
42f13c1d4ca2ea5facafcd13661c56a9,135,0.282976
39b3bf1f95f69d7f9e044e9a3bf304b9,129,0.277466
35d6627274ffd16db79fe667e5a95969,124,0.331373
4d32afe1aa44afbebd9bb583fcbe78f7,127,0.286967
86c5e4fc4680b945c51f0e8072c1268c,130,0.286024
8b03c9399c3d9a80544d1d2a1228f2f3,123,0.250647
693113ef0930e0ee45ae3773a53b233c,131,0.291317
aa68c54320e2934d148bd8806355ab89,114,0.291384
65a3b117d05cffda63728e812bba495c,151,0.338628
8327731f619e456c2e7a208d5c16509c,115,0.307824
f7a99ac412d8bed2e927fb633318d8f1,117,0.370126
f03e710876ba806c8616779c5095683f,142,0.323406
7d397ae6620007acd398415152bc7ae8,134,0.297353
1958f8e5f4abd39d2bfa7073ec8ed04a,145,0.375545
2e6315c2506aabcac1b3f19f91205711,147,0.291937
88e860bcc28b02c681b9b834fce003e3,140,0.269504
15c0e39b7da9adebc6c92ee543be019a,124,0.261129
016faafd7bd49b16bf68d485a0b2bc9e,143,0.288280
a58360f9851944e4d8582743e99fd77d,126,0.329022
413fce5675f86fa2c4f5699a89922862,135,0.309791
81f227ad4bce507e68b0ffc1d3bfe371,149,0.325738
